Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
G9510_004958,,hypothetical protein,1,1,1.0,,,,,,443,443,443
GSC69_003393,,AAA family ATPase,1,1,1.0,,,,,,2165,2165,2165
JNE97_001509,,iron-containing alcohol dehydrogenase,1,1,1.0,,,,,,533,533,533
LD360_002365,,phage late control D family protein,1,1,1.0,,,,,,515,515,515
GB704_21895,,RHS repeat protein,1,1,1.0,,,,,,4094,4094,4094
group_4614,idnK,gluconokinase,1,1,1.0,,,,,,530,530,530
B7S82_24890,,gluconokinase,1,1,1.0,,,,,,530,530,530
group_4617,holC,DNA polymerase III subunit chi,1,1,1.0,,,,,,443,443,443
B7S82_24840,,DNA polymerase III subunit chi,1,1,1.0,,,,,,482,482,482
EAU51_15430,,RHS repeat protein,1,1,1.0,,,,,,731,731,731
J9377_004654,,N-acetyltransferase,1,1,1.0,,,,,,503,503,503
GB704_25015,,GNAT family N-acetyltransferase,1,1,1.0,,,,,,473,473,473
group_4625,miaE,tRNA isopentenyl-2-thiomethyl-A-37 hydroxylase MiaE,1,1,1.0,,,,,,764,764,764
group_4629,mgtL,mgtA regulatory leader peptide MgtL,1,1,1.0,,,,,,98,98,98
B8136_24505,,RHS repeat protein,1,1,1.0,,,,,,731,731,731
group_4631,treC,"alpha,alpha-phosphotrehalase",1,1,1.0,,,,,,1652,1652,1652
J9377_004628,,BglG family transcription antiterminator,1,1,1.0,,,,,,1913,1913,1913
J9377_004627,,KDGP aldolase family protein,1,1,1.0,,,,,,740,740,740
J9377_004614,,MFS transporter,1,1,1.0,,,,,,1226,1226,1226
group_4639,iolD,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)",1,1,1.0,,,,,,1940,1940,1940
J9377_004610,,MFS transporter,1,1,1.0,,,,,,1166,1166,1166
J9377_004594,,metallo-dependent hydrolase,1,1,1.0,,,,,,1163,1163,1163
J9377_004578,,peptidylprolyl isomerase,1,1,1.0,,,,,,662,662,662
J9377_004559,,DUF1471 domain-containing protein,1,1,1.0,,,,,,275,275,275
J9377_004555,,DUF350 domain-containing protein,1,1,1.0,,,,,,398,398,398
FCF81_23115,,glycosyltransferase family 4 protein,1,1,1.0,,,,,,335,335,335
GIZ56_24265,,glycosyl transferase family 1,1,1,1.0,,,,,,330,330,330
FEL89_23650,,DNA helicase,1,1,1.0,,,,,,416,416,416
EWW67_24250,,terminase,1,1,1.0,,,,,,1499,1499,1499
F0581_22725,,terminase,1,1,1.0,,,,,,1499,1499,1499
F0581_22730,,DNA-packaging protein,1,1,1.0,,,,,,488,488,488
EWW67_24255,,DNA-packaging protein,1,1,1.0,,,,,,488,488,488
D6I09_24310,,DNA-packaging protein,1,1,1.0,,,,,,488,488,488
EXU92_24175,,DNA-packaging protein,1,1,1.0,,,,,,488,488,488
GOQ53_003292,,DNA-packaging protein,1,1,1.0,,,,,,488,488,488
FXP45_23795,,DNA helicase,1,1,1.0,,,,,,416,416,416
GZB80_004993,,multidrug transporter,1,1,1.0,,,,,,152,152,152
GZB86_004767,,multidrug transporter,1,1,1.0,,,,,,152,152,152
CFB26_24115,,oxidoreductase,1,1,1.0,,,,,,1037,1037,1037
CFB26_24110,,pirin family protein,1,1,1.0,,,,,,201,201,201
M5L67_004894,,AAA family ATPase,1,1,1.0,,,,,,1190,1190,1190
group_4950,araD,L-ribulose-5-phosphate 4-epimerase,1,1,1.0,,,,,,577,577,577
CH091_24305,,phage virulence factor,1,1,1.0,,,,,,86,86,86
CIX63_26930,,phage tail protein,1,1,1.0,,,,,,566,566,566
CIX63_26935,,phage tail protein,1,1,1.0,,,,,,155,155,155
C9A57_14390,,phage tail protein,1,1,1.0,,,,,,401,401,401
CIX63_21025,,hypothetical protein,1,1,1.0,,,,,,476,476,476
CBU12_24660,,oxaloacetate decarboxylase,1,1,1.0,,,,,,761,761,761
DWE92_25015,,oxaloacetate decarboxylase,1,1,1.0,,,,,,511,511,511
CIX63_20985,,tail assembly protein,1,1,1.0,,,,,,704,704,704
CFB26_24285,,peptidase T,1,1,1.0,,,,,,245,245,245
FCF49_23440,,DUF968 domain-containing protein,1,1,1.0,,,,,,621,621,621
GXL71_24505,,HlyC/CorC family transporter,1,1,1.0,,,,,,1286,1286,1286
GWD66_23840,,DUF21 domain-containing protein,1,1,1.0,,,,,,1286,1286,1286
GSD29_005042,,HlyC/CorC family transporter,1,1,1.0,,,,,,1286,1286,1286
C4F01_24945,,DUF21 domain-containing protein,1,1,1.0,,,,,,1286,1286,1286
CFC17_24180,,magnesium/cobalt efflux protein,1,1,1.0,,,,,,1286,1286,1286
GXL71_24510,,cytoplasmic protein,1,1,1.0,,,,,,605,605,605
CJ664_24780,,cytoplasmic protein,1,1,1.0,,,,,,605,605,605
C4F01_24950,,cytoplasmic protein,1,1,1.0,,,,,,605,605,605
GY345_004904,,cytoplasmic protein,1,1,1.0,,,,,,605,605,605
GTT10_004879,,cytoplasmic protein,1,1,1.0,,,,,,605,605,605
CFC17_24215,,ubiquinone-binding protein,1,1,1.0,,,,,,476,476,476
GWD66_23875,,type II toxin-antitoxin system RatA family toxin,1,1,1.0,,,,,,476,476,476
C4F01_24980,,type II toxin-antitoxin system RatA family toxin,1,1,1.0,,,,,,476,476,476
GSD29_005049,,type II toxin-antitoxin system RatA family toxin,1,1,1.0,,,,,,476,476,476
CFB26_24255,,arginine/agmatine antiporter,1,1,1.0,,,,,,597,597,597
GXH05_24660,,NCS2 family permease,1,1,1.0,,,,,,1337,1337,1337
group_5102,yieH,6-phosphogluconate phosphatase,1,1,1.0,,,,,,665,665,665
group_5224,codB,cytosine permease,1,1,1.0,,,,,,334,334,334
DSE15_25340,,O-antigen polymerase,1,1,1.0,,,,,,562,562,562
CEW55_16325,,hypothetical protein,1,1,1.0,,,,,,200,200,200
GVW30_004793,,hypothetical protein,1,1,1.0,,,,,,200,200,200
CJ664_25060,,Gfo/Idh/MocA family oxidoreductase,1,1,1.0,,,,,,1013,1013,1013
EIM93_25210,,hypothetical protein,1,1,1.0,,,,,,275,275,275
GVC39_004911,,DUF2635 domain-containing protein,1,1,1.0,,,,,,164,164,164
GOQ56_005028,,DUF2635 domain-containing protein,1,1,1.0,,,,,,164,164,164
HEE45_004938,,DUF2635 domain-containing protein,1,1,1.0,,,,,,164,164,164
HEE45_004939,,phage tail protein,1,1,1.0,,,,,,1496,1496,1496
GVC39_004912,,phage tail protein,1,1,1.0,,,,,,1496,1496,1496
GOQ56_005029,,phage tail protein,1,1,1.0,,,,,,1496,1496,1496
GOQ56_005031,,phage tail assembly protein,1,1,1.0,,,,,,326,326,326
GVC39_004914,,phage tail assembly protein,1,1,1.0,,,,,,326,326,326
HEE45_004941,,phage tail assembly protein,1,1,1.0,,,,,,293,293,293
GFN43_25235,,hypothetical protein,1,1,1.0,,,,,,340,340,340
CJS00_24660,,hypothetical protein,1,1,1.0,,,,,,371,371,371
DXR64_18390,,hypothetical protein,1,1,1.0,,,,,,224,224,224
GOQ56_005011,,phage holin family protein,1,1,1.0,,,,,,281,281,281
GOQ56_005016,,HNH endonuclease,1,1,1.0,,,,,,350,350,350
GVC39_004899,,HNH endonuclease,1,1,1.0,,,,,,350,350,350
EB951_23395,,HNH endonuclease,1,1,1.0,,,,,,350,350,350
GOQ56_005019,,hypothetical protein,1,1,1.0,,,,,,182,182,182
GVC39_004902,,hypothetical protein,1,1,1.0,,,,,,182,182,182
GVC39_004903,,phage portal protein,1,1,1.0,,,,,,1241,1241,1241
GOQ56_005020,,phage portal protein,1,1,1.0,,,,,,1241,1241,1241
GVC39_004906,,hypothetical protein,1,1,1.0,,,,,,200,200,200
GOQ56_005023,,hypothetical protein,1,1,1.0,,,,,,200,200,200
CJH56_23870,,DUF2560 family protein,1,1,1.0,,,,,,242,242,242
CIX89_24700,,conjugal transfer protein TraM,1,1,1.0,,,,,,692,692,692
CIX89_24720,,conjugal transfer protein TraQ,1,1,1.0,,,,,,527,527,527
CIX89_24750,,conjugal transfer protein,1,1,1.0,,,,,,1202,1202,1202
CIX89_24845,,post-segregation killing protein PndC,1,1,1.0,,,,,,434,434,434
C8454_23855,,biotin/lipoyl-binding protein,1,1,1.0,,,,,,272,272,272
L7C00_004761,,DinI-like family protein,1,1,1.0,,,,,,248,248,248
GOQ56_005057,,protein ImpC,1,1,1.0,,,,,,248,248,248
CJF97_26190,,protein ImpC,1,1,1.0,,,,,,248,248,248
GY309_005100,,protein ImpC,1,1,1.0,,,,,,248,248,248
HO281_005029,,protein ImpC,1,1,1.0,,,,,,248,248,248
CJF97_26210,,recombinase,1,1,1.0,,,,,,980,980,980
GOQ56_005053,,recombinase,1,1,1.0,,,,,,980,980,980
CFC07_24750,,recombinase,1,1,1.0,,,,,,980,980,980
GV977_24685,,recombinase,1,1,1.0,,,,,,980,980,980
GY309_005096,,recombinase,1,1,1.0,,,,,,980,980,980
group_5414,ccdA,type II toxin-antitoxin system antitoxin CcdA,1,1,1.0,,,,,,218,218,218
group_5415,ccdA,type II toxin-antitoxin system antitoxin CcdA,1,1,1.0,,,,,,218,218,218
group_5416,ccdA,type II toxin-antitoxin system antitoxin CcdA,1,1,1.0,,,,,,218,218,218
GOQ56_005043,,DUF4238 domain-containing protein,1,1,1.0,,,,,,1001,1001,1001
HEE45_004953,,DUF4238 domain-containing protein,1,1,1.0,,,,,,1001,1001,1001
GV977_24640,,DUF4238 domain-containing protein,1,1,1.0,,,,,,1001,1001,1001
GY309_005086,,DUF4238 domain-containing protein,1,1,1.0,,,,,,1001,1001,1001
D6I09_24685,,DUF4238 domain-containing protein,1,1,1.0,,,,,,1001,1001,1001
CFC07_24710,,hypothetical protein,1,1,1.0,,,,,,1001,1001,1001
HO281_005017,,colicin transporter,1,1,1.0,,,,,,347,347,347
HEE45_004949,,colicin 1B immunity protein,1,1,1.0,,,,,,347,347,347
EIU90_24820,,colicin transporter,1,1,1.0,,,,,,347,347,347
BWD03_25210,,colicin transporter,1,1,1.0,,,,,,347,347,347
GOQ56_005039,,colicin 1B immunity protein,1,1,1.0,,,,,,347,347,347
GQG20_005170,,hypothetical protein,1,1,1.0,,,,,,224,224,224
GRM36_002935,,hypothetical protein,1,1,1.0,,,,,,224,224,224
CFC07_24665,,hypothetical protein,1,1,1.0,,,,,,224,224,224
GY309_005074,,hypothetical protein,1,1,1.0,,,,,,224,224,224
BWD03_25150,,hypothetical protein,1,1,1.0,,,,,,224,224,224
EIU90_24760,,hypothetical protein,1,1,1.0,,,,,,224,224,224
DSP76_25345,,hypothetical protein,1,1,1.0,,,,,,224,224,224
E2749_25355,,hypothetical protein,1,1,1.0,,,,,,224,224,224
GY309_005072,,hypothetical protein,1,1,1.0,,,,,,494,494,494
GQG20_005168,,hypothetical protein,1,1,1.0,,,,,,494,494,494
CFC07_24655,,hypothetical protein,1,1,1.0,,,,,,494,494,494
NEV27_004855,,3'-5' exonuclease,1,1,1.0,,,,,,848,848,848
GY309_005068,,3'-5' exonuclease,1,1,1.0,,,,,,848,848,848
GQG20_005164,,3'-5' exonuclease,1,1,1.0,,,,,,848,848,848
CFC07_24635,,3'-5' exonuclease,1,1,1.0,,,,,,848,848,848
CE329_25035,,3'-5' exonuclease,1,1,1.0,,,,,,848,848,848
E2749_25325,,hypothetical protein,1,1,1.0,,,,,,320,320,320
CJF97_26390,,hypothetical protein,1,1,1.0,,,,,,320,320,320
DSP76_25270,,hypothetical protein,1,1,1.0,,,,,,320,320,320
GY309_005062,,hypothetical protein,1,1,1.0,,,,,,320,320,320
CFC07_24570,,conjugal transfer protein TraC,1,1,1.0,,,,,,683,683,683
CJ664_25030,,DUF4435 domain-containing protein,1,1,1.0,,,,,,818,818,818
CJF97_26425,,conjugal transfer protein TraC,1,1,1.0,,,,,,683,683,683
DSP76_25235,,conjugal transfer protein TraC,1,1,1.0,,,,,,683,683,683
E2749_25290,,conjugal transfer protein TraC,1,1,1.0,,,,,,683,683,683
GY309_005055,,conjugal transfer protein TraC,1,1,1.0,,,,,,683,683,683
DSP76_25205,,pilus assembly protein PilP,1,1,1.0,,,,,,437,437,437
CJF97_26455,,pilus assembly protein PilP,1,1,1.0,,,,,,437,437,437
CFC07_24535,,pilus assembly protein PilP,1,1,1.0,,,,,,437,437,437
group_5468,pilM,type IV pilus biogenesis protein PilM,1,1,1.0,,,,,,437,437,437
CFC07_24515,,ATP-binding protein,1,1,1.0,,,,,,1553,1553,1553
GY309_005044,,ATP-binding protein,1,1,1.0,,,,,,1553,1553,1553
DSP76_25185,,ATP-binding protein,1,1,1.0,,,,,,1553,1553,1553
CJF97_26475,,ATP-binding protein,1,1,1.0,,,,,,1553,1553,1553
CFC07_24505,,pilus assembly protein PilX,1,1,1.0,,,,,,614,614,614
CJF97_26485,,pilus assembly protein PilX,1,1,1.0,,,,,,614,614,614
DSP76_25175,,pilus assembly protein PilX,1,1,1.0,,,,,,614,614,614
DSP76_25170,,lytic transglycosylase,1,1,1.0,,,,,,560,560,560
CJF97_26490,,lytic transglycosylase,1,1,1.0,,,,,,560,560,560
CFC07_24500,,lytic transglycosylase,1,1,1.0,,,,,,560,560,560
DSP76_25165,,prepilin peptidase,1,1,1.0,,,,,,656,656,656
CFC07_24495,,prepilin peptidase,1,1,1.0,,,,,,656,656,656
CJF97_26495,,prepilin peptidase,1,1,1.0,,,,,,656,656,656
group_5501,traV,type IV conjugative transfer system lipoprotein TraV,1,1,1.0,,,,,,515,515,515
GXG37_24095,,multidrug transporter,1,1,1.0,,,,,,263,263,263
group_5505,trbI,type-F conjugative transfer system protein TrbI,1,1,1.0,,,,,,386,386,386
GXG37_24130,,HNH endonuclease,1,1,1.0,,,,,,419,419,419
group_5509,vapB,toxin-antitoxin system antitoxin VapB,1,1,1.0,,,,,,230,230,230
J9377_004582,,SDR family oxidoreductase,1,1,1.0,,,,,,848,848,848
CIX89_24765,,ethanolamine utilization protein,1,1,1.0,,,,,,443,443,443
GV174_24565,,IS110-like element IS5075 family transposase,1,1,1.0,,,,,,1004,1004,1004
CJW07_25050,,hypothetical protein,1,1,1.0,,,,,,860,860,860
FKE51_24805,,conjugal transfer protein TraU,1,1,1.0,,,,,,1007,1007,1007
CPJ81_24840,,conjugal transfer protein TraU,1,1,1.0,,,,,,928,928,928
CJW07_25040,,conjugal transfer protein TraU,1,1,1.0,,,,,,1007,1007,1007
C3T99_25525,,conjugal transfer protein TraU,1,1,1.0,,,,,,1007,1007,1007
CJW07_25035,,EAL domain-containing protein,1,1,1.0,,,,,,671,671,671
GVC77_004843,,EAL domain-containing protein,1,1,1.0,,,,,,671,671,671
FKE51_24800,,EAL domain-containing protein,1,1,1.0,,,,,,671,671,671
GPA45_004965,,EAL domain-containing protein,1,1,1.0,,,,,,671,671,671
I5A61_005057,,conjugal transfer protein TraW,1,1,1.0,,,,,,1265,1265,1265
EUY04_24845,,conjugal transfer protein TraW,1,1,1.0,,,,,,1265,1265,1265
GV897_24225,,conjugal transfer protein TraW,1,1,1.0,,,,,,1265,1265,1265
M5389_004945,,conjugal transfer protein TraB,1,1,1.0,,,,,,1313,1313,1313
GUE10_004904,,conjugal transfer protein TraB,1,1,1.0,,,,,,1316,1316,1316
GSD89_004980,,conjugal transfer protein TraB,1,1,1.0,,,,,,1316,1316,1316
FER41_24970,,conjugal transfer protein TraB,1,1,1.0,,,,,,1316,1316,1316
GUE10_004905,,conjugal transfer protein TraK,1,1,1.0,,,,,,917,917,917
F6X18_24780,,conjugal transfer protein TraK,1,1,1.0,,,,,,917,917,917
GVC77_004858,,conjugal transfer protein TraK,1,1,1.0,,,,,,917,917,917
GXA66_24765,,conjugal transfer protein TraK,1,1,1.0,,,,,,917,917,917
GUE10_004906,,pilus assembly protein,1,1,1.0,,,,,,626,626,626
GXA66_24770,,pilus assembly protein,1,1,1.0,,,,,,626,626,626
GVC77_004859,,pilus assembly protein,1,1,1.0,,,,,,626,626,626
GSD89_004982,,pilus assembly protein,1,1,1.0,,,,,,626,626,626
GSD89_004986,,hypothetical protein,1,1,1.0,,,,,,377,377,377
GUE10_004910,,hypothetical protein,1,1,1.0,,,,,,377,377,377
C3T99_25630,,hypothetical protein,1,1,1.0,,,,,,377,377,377
JNE97_003600,,integrase,1,1,1.0,,,,,,362,362,362
C3Z55_25570,,hypothetical protein,1,1,1.0,,,,,,377,377,377
GPA45_004985,,hypothetical protein,1,1,1.0,,,,,,377,377,377
C3Z55_25580,,DUF4400 domain-containing protein,1,1,1.0,,,,,,629,629,629
CJW07_25085,,DUF4400 domain-containing protein,1,1,1.0,,,,,,629,629,629
HF382_005006,,DUF4400 domain-containing protein,1,1,1.0,,,,,,629,629,629
GSD89_004988,,DUF4400 domain-containing protein,1,1,1.0,,,,,,629,629,629
GXA66_24800,,DUF4400 domain-containing protein,1,1,1.0,,,,,,629,629,629
CPJ81_24625,,conjugal transfer protein TraI,1,1,1.0,,,,,,2972,2972,2972
GXP82_004882,,conjugal transfer protein TraI,1,1,1.0,,,,,,2972,2972,2972
C3Z55_25595,,conjugal transfer protein TraI,1,1,1.0,,,,,,2972,2972,2972
GUE10_004915,,conjugal transfer protein TraI,1,1,1.0,,,,,,2972,2972,2972
KZL85_004799,,TraI domain-containing protein,1,1,1.0,,,,,,2972,2972,2972
GXP82_004886,,hypothetical protein,1,1,1.0,,,,,,488,488,488
GPA54_004909,,hypothetical protein,1,1,1.0,,,,,,488,488,488
GSD89_004995,,hypothetical protein,1,1,1.0,,,,,,488,488,488
GZB61_005005,,hypothetical protein,1,1,1.0,,,,,,488,488,488
GVC77_004872,,hypothetical protein,1,1,1.0,,,,,,488,488,488
GXP82_004887,,ASCH domain-containing protein,1,1,1.0,,,,,,299,299,299
GV897_24370,,ASCH domain-containing protein,1,1,1.0,,,,,,299,299,299
CFC17_24395,,ASCH domain-containing protein,1,1,1.0,,,,,,299,299,299
C4F01_24995,,ASCH domain-containing protein,1,1,1.0,,,,,,299,299,299
GPA45_004998,,hypothetical protein,1,1,1.0,,,,,,656,656,656
CFC17_24410,,hypothetical protein,1,1,1.0,,,,,,656,656,656
HF382_004996,,hypothetical protein,1,1,1.0,,,,,,656,656,656
M5389_004927,,hypothetical protein,1,1,1.0,,,,,,656,656,656
E2U96_25375,,hypothetical protein,1,1,1.0,,,,,,656,656,656
C2N52_25645,,hypothetical protein,1,1,1.0,,,,,,332,332,332
GZB72_004981,,hypothetical protein,1,1,1.0,,,,,,332,332,332
KZL85_004809,,hypothetical protein,1,1,1.0,,,,,,311,311,311
C4F01_25020,,hypothetical protein,1,1,1.0,,,,,,332,332,332
GXA66_24900,,N-6 DNA methylase,1,1,1.0,,,,,,635,635,635
EEO94_25750,,restriction endonuclease subunit M,1,1,1.0,,,,,,635,635,635
C3T99_25735,,N-6 DNA methylase,1,1,1.0,,,,,,635,635,635
CAR27_24945,,N-6 DNA methylase,1,1,1.0,,,,,,635,635,635
F6X18_24920,,ParB/RepB/Spo0J family partition protein,1,1,1.0,,,,,,1181,1181,1181
FER41_25045,,ParB/RepB/Spo0J family partition protein,1,1,1.0,,,,,,1181,1181,1181
H0G94_005048,,ParB/RepB/Spo0J family partition protein,1,1,1.0,,,,,,1181,1181,1181
NJA99_004990,,ParB/RepB/Spo0J family partition protein,1,1,1.0,,,,,,1181,1181,1181
F6X18_24925,,ParA family protein,1,1,1.0,,,,,,785,785,785
EEO94_25765,,ParA family protein,1,1,1.0,,,,,,785,785,785
HFX55_004932,,ParA family protein,1,1,1.0,,,,,,785,785,785
CJW07_25200,,hypothetical protein,1,1,1.0,,,,,,311,311,311
H0G94_005051,,hypothetical protein,1,1,1.0,,,,,,311,311,311
C2N52_25690,,hypothetical protein,1,1,1.0,,,,,,311,311,311
group_5665,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
group_5666,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
group_567,gogA,type III secretion system effector protease GogA,1,1,1.0,,,,,,521,521,521
group_5671,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
group_5672,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
group_5673,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
group_5674,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
group_5676,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
CG755_24935,,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
DPY02_26080,,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
DPY02_26365,,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
group_5686,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,1,1,1.0,,,,,,815,815,815
GV174_25030,,helix-turn-helix domain-containing protein,1,1,1.0,,,,,,737,737,737
D8U07_25435,,resolvase,1,1,1.0,,,,,,270,270,270
GXE38_24395,,recombinase family protein,1,1,1.0,,,,,,737,737,737
GZB61_005032,,helix-turn-helix domain-containing protein,1,1,1.0,,,,,,737,737,737
GZB61_005033,,hypothetical protein,1,1,1.0,,,,,,472,472,472
EE397_22315,,Tn3 family transposase,1,1,1.0,,,,,,2885,2885,2885
EE397_24715,,Tn3 family transposase,1,1,1.0,,,,,,2885,2885,2885
EGA75_22260,,Tn3 family transposase,1,1,1.0,,,,,,929,929,929
F9D38_23870,,hypothetical protein,1,1,1.0,,,,,,233,233,233
F9D38_23850,,thermonuclease family protein,1,1,1.0,,,,,,515,515,515
F9D38_23830,,ATP/GTP-binding protein,1,1,1.0,,,,,,1205,1205,1205
DQ665_27500,,ArsR family transcriptional regulator,1,1,1.0,,,,,,686,686,686
GVB94_005006,,winged helix-turn-helix transcriptional regulator,1,1,1.0,,,,,,686,686,686
F1A84_24545,,winged helix-turn-helix transcriptional regulator,1,1,1.0,,,,,,686,686,686
group_5746,tetR(B),tetracycline resistance transcriptional repressor TetR(B),1,1,1.0,,,,,,623,623,623
E2749_25375,,TetR family transcriptional regulator,1,1,1.0,,,,,,626,626,626
EE397_24740,,TetR family transcriptional regulator,1,1,1.0,,,,,,626,626,626
group_578,gtgA,type III secretion system effector protease GtgA,1,1,1.0,,,,,,347,347,347
GVB88_004886,,quinolone resistance pentapeptide repeat protein QnrB19,1,1,1.0,,,,,,644,644,644
HZW95_004754,,quinolone resistance pentapeptide repeat protein QnrB19,1,1,1.0,,,,,,644,644,644
GWD95_24955,,quinolone resistance pentapeptide repeat protein QnrB19,1,1,1.0,,,,,,644,644,644
GJY12_24220,,oxaloacetate decarboxylase,1,1,1.0,,,,,,313,313,313
GV174_24790,,quinolone resistance pentapeptide repeat protein QnrB2,1,1,1.0,,,,,,644,644,644
GV174_25140,,quinolone resistance pentapeptide repeat protein QnrB2,1,1,1.0,,,,,,644,644,644
GZB61_005034,,quinolone resistance pentapeptide repeat protein QnrB19,1,1,1.0,,,,,,644,644,644
LD360_005121,,quinolone resistance pentapeptide repeat protein QnrB19,1,1,1.0,,,,,,644,644,644
K3989_004937,,quinolone resistance pentapeptide repeat protein QnrB19,1,1,1.0,,,,,,644,644,644
EIR60_25020,,PipA/GogA/GtgA family type III secretion system effector,1,1,1.0,,,,,,347,347,347
LD360_003937,,DUF2213 domain-containing protein,1,1,1.0,,,,,,1346,1346,1346
HO281_005026,,plasmid stability protein,1,1,1.0,,,,,,392,392,392
L7C00_004758,,plasmid partitioning/stability family protein,1,1,1.0,,,,,,392,392,392
K6M77_004712,,PipA/GogA/GtgA family type III secretion system effector,1,1,1.0,,,,,,347,347,347
BWD03_25260,,plasmid stability protein,1,1,1.0,,,,,,392,392,392
E2749_25465,,plasmid stability protein,1,1,1.0,,,,,,392,392,392
C3006_24725,,regulator,1,1,1.0,,,,,,533,533,533
DQ665_27050,,regulator,1,1,1.0,,,,,,533,533,533
C3005_24710,,regulator,1,1,1.0,,,,,,533,533,533
C3004_24710,,regulator,1,1,1.0,,,,,,533,533,533
C2J64_26230,,regulator,1,1,1.0,,,,,,533,533,533
C3Z95_24720,,hypothetical protein,1,1,1.0,,,,,,611,611,611
D0B74_24290,,PipA/GogA/GtgA family type III secretion system effector,1,1,1.0,,,,,,347,347,347
DWF11_25845,,hypothetical protein,1,1,1.0,,,,,,611,611,611
C3006_24730,,hypothetical protein,1,1,1.0,,,,,,611,611,611
C3001_24720,,hypothetical protein,1,1,1.0,,,,,,611,611,611
C3Z93_25485,,hypothetical protein,1,1,1.0,,,,,,611,611,611
C3001_24725,,hypothetical protein,1,1,1.0,,,,,,209,209,209
C2J64_26240,,hypothetical protein,1,1,1.0,,,,,,221,221,221
C3005_24720,,hypothetical protein,1,1,1.0,,,,,,209,209,209
C3Z93_25490,,hypothetical protein,1,1,1.0,,,,,,209,209,209
C3004_24720,,hypothetical protein,1,1,1.0,,,,,,209,209,209
NJA97_004919,,integrase domain-containing protein,1,1,1.0,,,,,,965,965,965
DWF11_25895,,integrase,1,1,1.0,,,,,,872,872,872
IQT32_004910,,integrase,1,1,1.0,,,,,,872,872,872
C3Z95_24765,,integrase,1,1,1.0,,,,,,872,872,872
F9D38_23770,,IS6-like element IS6100 family transposase,1,1,1.0,,,,,,764,764,764
B9M17_23855,,PipA/GogA/GtgA family type III secretion system effector,1,1,1.0,,,,,,347,347,347
group_5918,istA,IS21-like element IS1326 family transposase,1,1,1.0,,,,,,1523,1523,1523
FIX01_24620,,IS21-like element IS1326 family transposase,1,1,1.0,,,,,,980,980,980
C2F11_24730,,IS21-like element IS1326 family transposase,1,1,1.0,,,,,,1523,1523,1523
H6S79_004773,,IS21-like element IS1326 family transposase,1,1,1.0,,,,,,1523,1523,1523
CJF97_26260,,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,1,1,1.0,,,,,,230,230,230
NJA99_004983,,DUF262 domain-containing protein,1,1,1.0,,,,,,1310,1310,1310
K6S50_005107,,DUF262 domain-containing protein,1,1,1.0,,,,,,1310,1310,1310
BKJ01_24515,,DUF262 domain-containing protein,1,1,1.0,,,,,,1310,1310,1310
GQG20_005193,,DUF262 domain-containing protein,1,1,1.0,,,,,,1283,1283,1283
group_5941,merD,mercury resistance co-regulator MerD,1,1,1.0,,,,,,362,362,362
group_5942,merD,mercury resistance co-regulator MerD,1,1,1.0,,,,,,362,362,362
group_5944,merD,mercury resistance co-regulator MerD,1,1,1.0,,,,,,362,362,362
FE590_23700,,ABC transporter permease,1,1,1.0,,,,,,257,257,257
EJN31_16600,,transposase,1,1,1.0,,,,,,368,368,368
EJN31_26525,,transposase,1,1,1.0,,,,,,368,368,368
GV977_22885,,IS3 family transposase,1,1,1.0,,,,,,249,249,249
EJN31_16605,,IS30-like element IS30 family transposase,1,1,1.0,,,,,,1151,1151,1151
EJN31_26520,,IS30-like element IS30 family transposase,1,1,1.0,,,,,,1151,1151,1151
GXR61_005008,,recombinase family protein,1,1,1.0,,,,,,560,560,560
GSD62_004129,,recombinase family protein,1,1,1.0,,,,,,560,560,560
NEV27_004861,,recombinase family protein,1,1,1.0,,,,,,560,560,560
EJN31_26475,,recombinase family protein,1,1,1.0,,,,,,560,560,560
EJN31_16655,,PAS domain S-box protein,1,1,1.0,,,,,,1577,1577,1577
EJN31_26470,,PAS domain S-box protein,1,1,1.0,,,,,,1577,1577,1577
FY643_01840,,PAS domain-containing protein,1,1,1.0,,,,,,1526,1526,1526
EJN31_26425,,type I toxin-antitoxin system Hok family toxin,1,1,1.0,,,,,,149,149,149
